Category ID;Active;Name;Parent Category
5;1;Szablony Joomla! CMS;Główna
6;1;Przemysł;Główna
7;1;Biznes;Główna
8;1;Szablony WordPress CMS;Główna
9;1;Projektowanie wnętrz i meble;Główna
10;1;Rolnictwo;Główna
11;1;Kulinarne;Główna
12;1;Szablony Drupal CMS;Główna
13;1;Programy;Główna
14;1;Zwierzęta;Główna
15;1;Rozrywka;Główna
16;1;Sklepy WooCommerce;Główna
17;1;Moda;Główna
18;1;Kultura i społeczeństwo;Główna
19;1;Uroda i piękno;Główna
20;1;Kawiarnie i Restauracje;Główna
21;1;Samochody;Główna
22;1;Gry;Główna
23;1;Medycyna;Główna
24;1;Narzędzia i wyposażenie;Główna
25;1;Najbardziej popularne;Główna
26;1;Sport;Główna
27;1;Nieruchomości;Główna
28;1;Komputery;Główna
29;1;Elektronika;Główna
30;1;Architektura;Główna
31;1;Muzyka;Główna
32;1;Edukacja;Główna
33;1;Podróże;Główna
34;1;Internet;Główna
35;1;Rodzina;Główna
36;1;Kluby Nocne;Główna
37;1;Fotografika;Główna
38;1;Nauka;Główna
39;1;Religie;Główna
40;1;Książki;Główna
41;1;Hotele;Główna
42;1;Halloween;Główna
43;1;Transport;Główna
44;1;Śluby;Główna
45;1;Projektowanie stron www;Główna
46;1;Media;Główna
47;1;Polityka;Główna
48;1;Hosting;Główna
49;1;Projektowanie przestrzeni;Główna
50;1;Randki;Główna
51;1;Strony osobiste;Główna
52;1;Kwiaty;Główna
53;1;Komunikacja;Główna
54;1;Serwis i usługi;Główna
55;1;Sklepy PrestaShop;Główna
56;1;Sklepy Magento;Główna
57;1;Prezenty;Główna
58;1;Biżuteria;Główna
59;1;Militaria;Główna
60;1;Boże Narodzenie;Główna
